店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
IZAKAYA 時々jiji 観音寺店,050-5487-0831,,香川県,観音寺市昭和町,1-8-39,,https://s455600.gorp.jp/,True
一休庵,050-5494-6118,,山梨県,甲州市塩山小屋敷,2289-2,,https://nbza500.gorp.jp/,True
個室居酒屋 寿司 焼鳥 おでん 食べ放題 もてなしや 北千住駅前店,050-5484-8899,,東京都,足立区千住,2-62-18,2F,https://ghzm005.gorp.jp/,True
串角 小禄店,050-5488-7555,,沖縄県,那覇市赤嶺,2-4-1,,https://f463700.gorp.jp/,True
三代目網元 魚鮮水産 浜田駅前店,050-5492-1958,,島根県,浜田市黒川町,4180,,https://www.chimney.co.jp/restaurant/detail/?id=1062,True
＆calm,050-5486-0964,,愛知県,一宮市印田通,2-5,,https://nc9a700.gorp.jp/,True
新鮮野菜×ワイン食堂 Piccolo Bruco,050-5484-2276,,神奈川県,横須賀市久里浜,4-5-2,KHAビル2F,https://ghxy801.gorp.jp/,True
囘 －MAWARI－ 南草津店,050-5485-4726,,滋賀県,草津市矢橋町,117-1,,http://omigyuyakiniku.jp/,False
Salon de biogance cafe YOKOHAMA みなとみらい店,050-5494-6444,,神奈川県,横浜市中区新港,1-3-1,MARINE&WALK YOKOHAMA1F,https://gjgt600.gorp.jp/,True
キッチン リップル（Kitchen Ripple）,050-5494-5902,,愛知県,一宮市丹陽町九日市場字横枕,1296-1,,https://nby0000.gorp.jp/,True
野菜がおいしいダイニング LONGING HOUSE 旧軽井沢,050-5487-6666,,長野県,北佐久郡軽井沢町軽井沢,878-2,,https://nb8w702.gorp.jp/,True
どらもみじ レッド 湯月町,089-993-8747,,愛媛県,松山市道後湯月町,3-11,,https://s521401.gorp.jp/,True
Basilico,050-5484-2070,,大阪府,大阪市住之江区南港北,1-13-11,グランドプリンスホテル大阪ベイB1,https://kemf502.gorp.jp/,True
大衆焼肉 酒場 けむすけ 天童店,023-609-9119,,山形県,天童市東本町,2-6-22,,https://t184906.gorp.jp/,True
とりでん 水沢店,050-5485-8937,,岩手県,奥州市水沢区佐倉河字前田,30-1,,https://t972300.gorp.jp/,True
全席個室ダイニング 忍家 いわき泉店,050-5486-0413,,福島県,いわき市泉町滝尻字泉町,88-4,,https://www.horiifood.co.jp/,True
Quindi（クインディ）,050-5487-3782,,東京都,渋谷区上原,2-48-12,1F,https://gg4k800.gorp.jp/,True
海蔵 ＪＲ駅東口店,050-5485-3842,,栃木県,宇都宮市東宿郷,2-6-3,2F,https://gj0e300.gorp.jp/,True
北海道イタリアン ミアボッカ キュービックプラザ新横浜店,050-5488-5084,,神奈川県,横浜市港北区篠原町新横浜,2937,キュービックプラザ新横浜1Fぐるめストリート,https://gj78700.gorp.jp/,True
鰻の成瀬 古川店,050-5487-0874,,宮城県,大崎市古川七日町,3-10,醸室（かむろ）5,https://ta8y800.gorp.jp/,True
串焼き居酒屋 とりのや,050-5486-7445,,富山県,氷見市本町,2-5,,https://torinoya.gorp.jp/,True
スパニッシュイタリアン Dai,050-5487-8900,,神奈川県,横浜市青葉区美しが丘,1-10-1,2F,https://geg3627.gorp.jp/,True
国産牛焼肉くいどん 甚目寺店,052-449-2929,,愛知県,あま市坂牧坂塩,76-1,,https://nc9j100.gorp.jp/,True
焼肉 石垣牛うしみず,050-5494-5662,,沖縄県,石垣市浜崎町,1-2-6,パディオ石垣1F,https://fbtb100.gorp.jp/,True
囘－MAWARI－ 八日市店,050-5486-6870,,滋賀県,東近江市東沖野,3-1-5,,https://k958110.gorp.jp/,True
ブッフェ ザ フォレスト ららぽーと TOKYO－BAY,050-5485-4828,,千葉県,船橋市浜町,2-1-1,ららぽーとTOKYO-BAY南館 3F,https://nilax.jp/store/28?utm_source=route&utm_medium=gnavi,True
炉端かば 浜田店,050-5485-3884,,島根県,浜田市浅井町,86-34,,https://robata-kaba.jp/,True
のどぐろ日本海 出雲市駅前店,050-5487-2218,,島根県,出雲市今市町,1271-5,,https://nodoguronihonkai.gorp.jp/,True
居酒屋 くろべぇ,050-5492-8052,,沖縄県,宮古島市平良西里,251-1,ディーライフビル1F,https://faxf400.gorp.jp/,True
自然派ビュッフェ 饗の詩 イクスピアリ舞浜,050-5489-0469,,千葉県,浦安市舞浜,1-4,イクスピアリ1F,https://gh0d832.gorp.jp/,True
沖縄酒場ハイサイ 栄町市場店,050-5492-8392,,沖縄県,那覇市安里,388-114,安里駅前.BLDG1F,https://fc3d500.gorp.jp/,True
寿し処 寿都 魚一心,050-5489-3092,,北海道,虻田郡ニセコ町曽我,51-5,,https://h223705.gorp.jp/,True
BACCANALE,050-5489-5027,,福岡県,福岡市東区香椎駅前,2-19-1,,https://fbrg600.gorp.jp/,True
鮮度の極み 魚もつ 武蔵小杉,050-5486-0637,,神奈川県,川崎市中原区新丸子町,915-8,ライオンズビル武蔵小杉1F,https://ge0e901.gorp.jp/,True
阿蘇きのこ亭,0967-67-2100,,熊本県,阿蘇郡南阿蘇村河陽,5579-3,,https://fbzw701.gorp.jp/,True
Le Blanc,050-5484-5075,,千葉県,白井市根,1964-6,,http://leblanc.watson.jp/,True
マルサ水産 西尾店,050-5489-0948,,愛知県,西尾市羽塚町坊山,1-1,,https://nbsz429.gorp.jp/,True
焼肉御苑,050-5489-2747,,長野県,諏訪郡下諏訪町6,144-3,,https://nc7p900.gorp.jp/,True
神戸クック・ワールドビュッフェ 久留米店,050-5488-5482,,福岡県,久留米市東櫛原町,518-1,,https://fbzm800.gorp.jp/,True
牛藩 南国店,050-5487-2811,,高知県,南国市田村甲,517-1,,https://gyuhan-nangoku.gorp.jp/,True
すみやき家 串陣 秋川店,050-5486-9163,,東京都,あきる野市秋川,2-6-10,田村ビル1F,https://e990504.gorp.jp/,True
越前の旬 地酒 むげん,050-5486-8217,,福井県,福井市大和田,2-202,opmビル1F,https://r806900.gorp.jp/,True
北極星 甲子園プラス店,050-5486-0790,,兵庫県,西宮市甲子園町,8-15,甲子園プラス 1F,https://kaz9517.gorp.jp/,True
LIGNOSA CAFE,050-5492-5339,info@lignosa.com,愛知県,名古屋市緑区熊の前,1-801,,http://lignosa.com/,False
北京餃子,050-5488-2013,,宮城県,仙台市青葉区一番町,3-1-18,しまぬきビルB1,https://ta92500.gorp.jp/,True
隠れ家もつ鍋居酒屋 風風,050-5486-8782,,福岡県,福岡市中央区福浜,2-4-1,,https://fufu.gorp.jp/,True
大衆焼肉・ホルモン 焼肉ムラヤス食堂,050-5488-9859,,茨城県,土浦市中高津,1-19-34,,https://gjbn900.gorp.jp/,True
須賀川Kitchen あぐり,050-5492-9062,,福島県,須賀川市中町,66,フカヤビル2F,https://ta46900.gorp.jp/,True
Yaeyama kitchen Palm Tree Lanai,050-5492-0862,,沖縄県,石垣市桴海,527,,https://fc3j900.gorp.jp/,True
